filename,Superhero
superhero_test_1,ant_man
superhero_test_2,super_man
superhero_test_3,iron_man
superhero_test_4,bat_man
superhero_test_5,captain_america
superhero_test_6,spider_man
superhero_test_7,hulk
superhero_test_8,avengers
superhero_test_9,black_panther
superhero_test_10,cat_woman
superhero_test_11,aqua_man
superhero_test_12,ghostrider
superhero_test_13,ghostrider
superhero_test_14,ghostrider
superhero_test_15,ghostrider
superhero_test_16,ghostrider
superhero_test_17,ghostrider
superhero_test_18,ghostrider
superhero_test_19,ghostrider
superhero_test_20,ghostrider
superhero_test_21,ghostrider
superhero_test_22,ghostrider
superhero_test_23,ghostrider
superhero_test_24,ghostrider
superhero_test_25,ghostrider
superhero_test_26,ghostrider
superhero_test_27,ghostrider
superhero_test_28,ghostrider
superhero_test_29,ghostrider
superhero_test_30,ghostrider
superhero_test_31,ghostrider
superhero_test_32,ghostrider
superhero_test_33,ghostrider
superhero_test_34,ghostrider
superhero_test_35,ghostrider
superhero_test_36,ghostrider
superhero_test_37,ghostrider
superhero_test_38,ghostrider
superhero_test_39,ghostrider
superhero_test_40,ghostrider
superhero_test_41,ghostrider
superhero_test_42,ghostrider
superhero_test_43,ghostrider
superhero_test_44,ghostrider
superhero_test_45,ghostrider
superhero_test_46,ghostrider
superhero_test_47,ghostrider
superhero_test_48,ghostrider
superhero_test_49,ghostrider
superhero_test_50,ghostrider
superhero_test_51,ghostrider
superhero_test_52,ghostrider
superhero_test_53,ghostrider
superhero_test_54,ghostrider
superhero_test_55,ghostrider
superhero_test_56,ghostrider
superhero_test_57,ghostrider
superhero_test_58,ghostrider
superhero_test_59,ghostrider
superhero_test_60,ghostrider
superhero_test_61,ghostrider
superhero_test_62,ghostrider
superhero_test_63,ghostrider
superhero_test_64,ghostrider
superhero_test_65,ghostrider
superhero_test_66,ghostrider
superhero_test_67,ghostrider
superhero_test_68,ghostrider
superhero_test_69,ghostrider
superhero_test_70,ghostrider
superhero_test_71,ghostrider
superhero_test_72,ghostrider
superhero_test_73,ghostrider
superhero_test_74,ghostrider
superhero_test_75,ghostrider
superhero_test_76,ghostrider
superhero_test_77,ghostrider
superhero_test_78,ghostrider
superhero_test_79,ghostrider
superhero_test_80,ghostrider
superhero_test_81,ghostrider
superhero_test_82,ghostrider
superhero_test_83,ghostrider
superhero_test_84,ghostrider
superhero_test_85,ghostrider
superhero_test_86,ghostrider
superhero_test_87,ghostrider
superhero_test_88,ghostrider
superhero_test_89,ghostrider
superhero_test_90,ghostrider
superhero_test_91,ghostrider
superhero_test_92,ghostrider
superhero_test_93,ghostrider
superhero_test_94,ghostrider
superhero_test_95,ghostrider
